User,dx,dy,Diversionx,Diversiony,type,distState,distArea,Month,Year,Additional_Note,Diversion,ConsumptiveUse
City of Yuma,1424007.529,25628653.34,1017148.235,26151687.08,User,AZ,78673.66559,3,2009,Pumped from Well,62151,621510
Mohave IDD,1076498.022,26628191.41,936085.2364,26495712.85,User,AZ,32879.55456,3,2009,Pumped from Reservoir,139213,1392130
Cibola Valley IDD,1076498.022,26495712.85,936085.2364,26495712.85,User,AZ,7146.580302,3,2009,Pumped from Well,176093,1760930
Fort Mojave Indian Tribe,1076498.022,26363234.29,936085.2364,26495712.85,User,"CA, AZ, NV",20975.1735,3,2009,Pumped from Reservoir,144075,1440750
Met. Water District of So. Cal. ,699103.7691,27289269.43,998719.6702,26754185.72,User,CA,3369831.864,3,2009,Pumped from Well,55365,553650
Imperial Irrigation District,699103.7691,27155498.51,998719.6702,26754185.72,User,CA,965850.9077,3,2009,Pumped from Reservoir,199272,1992720
Coachella Valley Water District,699103.7691,27021727.58,998719.6702,26754185.72,User,CA,643409.9208,3,2009,Pumped from Well,145970,1459700
Palo Verde ID,699103.7691,26887956.65,998719.6702,26754185.72,User,CA,22715.52568,3,2009,Pumped from Reservoir,191724,1917240
Bard Water District,699103.7691,26754185.72,998719.6702,26754185.72,User,CA,17345.36361,3,2009,Pumped from Well,105356,1053560
Colorado River Indian Tribes,699103.7691,26620414.79,998719.6702,26754185.72,User,"CA, AZ",275297.8585,3,2009,Pumped from Reservoir,32626,326260
Chemehuevi Indian Tribe,699103.7691,26486643.86,998719.6702,26754185.72,User,CA,31345.4648,3,2009,Pumped from Well,151637,1516370
Cocopah Indian Tribe,699103.7691,26352872.93,998719.6702,26754185.72,User,AZ,5051.562495,3,2009,Pumped from Reservoir,118613,1186130
Quechan Indian Tribe,699103.7691,26219102.01,998719.6702,26754185.72,User,CA,45046.9459,3,2009,Pumped from Well,99947,999470
Southern Nevada Water Authority,2001077.088,27049702.93,1905787.703,27117496.67,User,NV,4828668.247,4,2009,Pumped from Reservoir,21040,189360
Central Arizona Water Conservation District,2001077.088,27185290.41,1905787.703,27117496.67,User,AZ,15189840.29,4,2009,Pumped from Well,110030,990270
Wellton Mohawk IDD,1424007.529,26674720.82,1017148.235,26151687.08,User,AZ,126708.0774,4,2009,Pumped from Reservoir,63703,573327
North Gila Valley IDD,1424007.529,26543962.39,1017148.235,26151687.08,User,AZ,7759.295221,4,2009,Pumped from Well,115943,1043487
Yuma IDD,1424007.529,26413203.95,1017148.235,26151687.08,User,AZ,14273.50803,4,2009,Pumped from Reservoir,123300,1109700
Yuma Mesa IDD,1424007.529,26282445.52,1017148.235,26151687.08,User,AZ,55357.02547,4,2009,Pumped from Well,187412,1686708
Unit B IDD,1424007.529,26151687.08,1017148.235,26151687.08,User,AZ,3389.838218,4,2009,Pumped from Reservoir,154755,1392795
Yuma County WUA,1424007.529,26020928.64,1017148.235,26151687.08,User,AZ,58031.52413,4,2009,Pumped from Well,174996,1574964
Bullhead City,1424007.529,25890170.21,1017148.235,26151687.08,User,AZ,38491.85609,4,2009,Pumped from Reservoir,104253,938277
Lake Havasu City,1424007.529,25759411.77,1017148.235,26151687.08,User,AZ,29714.58741,4,2009,Pumped from Well,160787,1447083
City of Yuma,1424007.529,25628653.34,1017148.235,26151687.08,User,AZ,78673.66559,4,2009,Pumped from Reservoir,188374,1695366
Mohave IDD,1076498.022,26628191.41,936085.2364,26495712.85,User,AZ,32879.55456,4,2009,Pumped from Well,89197,802773
Cibola Valley IDD,1076498.022,26495712.85,936085.2364,26495712.85,User,AZ,7146.580302,4,2009,Pumped from Reservoir,70366,633294
Fort Mojave Indian Tribe,1076498.022,26363234.29,936085.2364,26495712.85,User,"CA, AZ, NV",20975.1735,4,2009,Pumped from Well,70709,636381
Met. Water District of So. Cal. ,699103.7691,27289269.43,998719.6702,26754185.72,User,CA,3369831.864,4,2009,Pumped from Reservoir,172438,1551942
Imperial Irrigation District,699103.7691,27155498.51,998719.6702,26754185.72,User,CA,965850.9077,4,2009,Pumped from Well,179711,1617399
Coachella Valley Water District,699103.7691,27021727.58,998719.6702,26754185.72,User,CA,643409.9208,4,2009,Pumped from Reservoir,135727,1221543
Palo Verde ID,699103.7691,26887956.65,998719.6702,26754185.72,User,CA,22715.52568,4,2009,Pumped from Well,184028,1656252
Bard Water District,699103.7691,26754185.72,998719.6702,26754185.72,User,CA,17345.36361,4,2009,Pumped from Reservoir,118920,1070280
Colorado River Indian Tribes,699103.7691,26620414.79,998719.6702,26754185.72,User,"CA, AZ",275297.8585,4,2009,Pumped from Well,76973,692757
Chemehuevi Indian Tribe,699103.7691,26486643.86,998719.6702,26754185.72,User,CA,31345.4648,4,2009,Pumped from Reservoir,12666,113994
Cocopah Indian Tribe,699103.7691,26352872.93,998719.6702,26754185.72,User,AZ,5051.562495,4,2009,Pumped from Well,64618,581562
Quechan Indian Tribe,699103.7691,26219102.01,998719.6702,26754185.72,User,CA,45046.9459,4,2009,Pumped from Reservoir,150598,1355382
Southern Nevada Water Authority,2001077.088,27049702.93,1905787.703,27117496.67,User,NV,4828668.247,5,2009,Pumped from Well,35443,283544
Central Arizona Water Conservation District,2001077.088,27185290.41,1905787.703,27117496.67,User,AZ,15189840.29,5,2009,Pumped from Reservoir,146266,1170128
Wellton Mohawk IDD,1424007.529,26674720.82,1017148.235,26151687.08,User,AZ,126708.0774,5,2009,Pumped from Well,187675,1501400
North Gila Valley IDD,1424007.529,26543962.39,1017148.235,26151687.08,User,AZ,7759.295221,5,2009,Pumped from Reservoir,28779,230232
Yuma IDD,1424007.529,26413203.95,1017148.235,26151687.08,User,AZ,14273.50803,5,2009,Pumped from Well,89326,714608
Yuma Mesa IDD,1424007.529,26282445.52,1017148.235,26151687.08,User,AZ,55357.02547,5,2009,Pumped from Reservoir,87984,703872
Unit B IDD,1424007.529,26151687.08,1017148.235,26151687.08,User,AZ,3389.838218,5,2009,Pumped from Well,124790,998320
Yuma County WUA,1424007.529,26020928.64,1017148.235,26151687.08,User,AZ,58031.52413,5,2009,Pumped from Reservoir,47875,383000
Bullhead City,1424007.529,25890170.21,1017148.235,26151687.08,User,AZ,38491.85609,5,2009,Pumped from Well,52735,421880
Lake Havasu City,1424007.529,25759411.77,1017148.235,26151687.08,User,AZ,29714.58741,5,2009,Pumped from Reservoir,25592,204736
City of Yuma,1424007.529,25628653.34,1017148.235,26151687.08,User,AZ,78673.66559,5,2009,Pumped from Well,53109,424872
Mohave IDD,1076498.022,26628191.41,936085.2364,26495712.85,User,AZ,32879.55456,5,2009,Pumped from Reservoir,16881,135048
Cibola Valley IDD,1076498.022,26495712.85,936085.2364,26495712.85,User,AZ,7146.580302,5,2009,Pumped from Well,87890,703120
Fort Mojave Indian Tribe,1076498.022,26363234.29,936085.2364,26495712.85,User,"CA, AZ, NV",20975.1735,5,2009,Pumped from Reservoir,188254,1506032
Met. Water District of So. Cal. ,699103.7691,27289269.43,998719.6702,26754185.72,User,CA,3369831.864,5,2009,Pumped from Well,194390,1555120
Imperial Irrigation District,699103.7691,27155498.51,998719.6702,26754185.72,User,CA,965850.9077,5,2009,Pumped from Reservoir,136593,1092744
Coachella Valley Water District,699103.7691,27021727.58,998719.6702,26754185.72,User,CA,643409.9208,5,2009,Pumped from Well,197162,1577296
Palo Verde ID,699103.7691,26887956.65,998719.6702,26754185.72,User,CA,22715.52568,5,2009,Pumped from Reservoir,89724,717792
Bard Water District,699103.7691,26754185.72,998719.6702,26754185.72,User,CA,17345.36361,5,2009,Pumped from Well,178010,1424080
Colorado River Indian Tribes,699103.7691,26620414.79,998719.6702,26754185.72,User,"CA, AZ",275297.8585,5,2009,Pumped from Reservoir,163858,1310864
Chemehuevi Indian Tribe,699103.7691,26486643.86,998719.6702,26754185.72,User,CA,31345.4648,5,2009,Pumped from Well,102215,817720
Cocopah Indian Tribe,699103.7691,26352872.93,998719.6702,26754185.72,User,AZ,5051.562495,5,2009,Pumped from Reservoir,183316,1466528
Quechan Indian Tribe,699103.7691,26219102.01,998719.6702,26754185.72,User,CA,45046.9459,5,2009,Pumped from Well,99966,799728
Southern Nevada Water Authority,2001077.088,27049702.93,1905787.703,27117496.67,User,NV,4828668.247,6,2009,Pumped from Reservoir,91095,637665
Central Arizona Water Conservation District,2001077.088,27185290.41,1905787.703,27117496.67,User,AZ,15189840.29,6,2009,Pumped from Well,85042,595294
Wellton Mohawk IDD,1424007.529,26674720.82,1017148.235,26151687.08,User,AZ,126708.0774,6,2009,Pumped from Reservoir,166625,1166375
North Gila Valley IDD,1424007.529,26543962.39,1017148.235,26151687.08,User,AZ,7759.295221,6,2009,Pumped from Well,25548,178836
Yuma IDD,1424007.529,26413203.95,1017148.235,26151687.08,User,AZ,14273.50803,6,2009,Pumped from Reservoir,26281,183967
Yuma Mesa IDD,1424007.529,26282445.52,1017148.235,26151687.08,User,AZ,55357.02547,6,2009,Pumped from Well,178560,1249920
Unit B IDD,1424007.529,26151687.08,1017148.235,26151687.08,User,AZ,3389.838218,6,2009,Pumped from Reservoir,167437,1172059
Yuma County WUA,1424007.529,26020928.64,1017148.235,26151687.08,User,AZ,58031.52413,6,2009,Pumped from Well,135437,948059
Bullhead City,1424007.529,25890170.21,1017148.235,26151687.08,User,AZ,38491.85609,6,2009,Pumped from Reservoir,128999,902993
Lake Havasu City,1424007.529,25759411.77,1017148.235,26151687.08,User,AZ,29714.58741,6,2009,Pumped from Well,21261,148827
City of Yuma,1424007.529,25628653.34,1017148.235,26151687.08,User,AZ,78673.66559,6,2009,Pumped from Reservoir,50369,352583
Mohave IDD,1076498.022,26628191.41,936085.2364,26495712.85,User,AZ,32879.55456,6,2009,Pumped from Well,28551,199857
Cibola Valley IDD,1076498.022,26495712.85,936085.2364,26495712.85,User,AZ,7146.580302,6,2009,Pumped from Reservoir,95384,667688
Fort Mojave Indian Tribe,1076498.022,26363234.29,936085.2364,26495712.85,User,"CA, AZ, NV",20975.1735,6,2009,Pumped from Well,57348,401436
Met. Water District of So. Cal. ,699103.7691,27289269.43,998719.6702,26754185.72,User,CA,3369831.864,6,2009,Pumped from Reservoir,168974,1182818
Imperial Irrigation District,699103.7691,27155498.51,998719.6702,26754185.72,User,CA,965850.9077,6,2009,Pumped from Well,186539,1305773
Coachella Valley Water District,699103.7691,27021727.58,998719.6702,26754185.72,User,CA,643409.9208,6,2009,Pumped from Reservoir,129183,904281
Palo Verde ID,699103.7691,26887956.65,998719.6702,26754185.72,User,CA,22715.52568,6,2009,Pumped from Well,29961,209727
Bard Water District,699103.7691,26754185.72,998719.6702,26754185.72,User,CA,17345.36361,6,2009,Pumped from Reservoir,20443,143101
Colorado River Indian Tribes,699103.7691,26620414.79,998719.6702,26754185.72,User,"CA, AZ",275297.8585,6,2009,Pumped from Well,159632,1117424
Chemehuevi Indian Tribe,699103.7691,26486643.86,998719.6702,26754185.72,User,CA,31345.4648,6,2009,Pumped from Reservoir,23998,167986
Cocopah Indian Tribe,699103.7691,26352872.93,998719.6702,26754185.72,User,AZ,5051.562495,6,2009,Pumped from Well,142035,994245
Quechan Indian Tribe,699103.7691,26219102.01,998719.6702,26754185.72,User,CA,45046.9459,6,2009,Pumped from Reservoir,72441,507087
Southern Nevada Water Authority,2001077.088,27049702.93,1905787.703,27117496.67,User,NV,4828668.247,7,2009,Pumped from Well,179743,1078458
Central Arizona Water Conservation District,2001077.088,27185290.41,1905787.703,27117496.67,User,AZ,15189840.29,7,2009,Pumped from Reservoir,107269,643614
Wellton Mohawk IDD,1424007.529,26674720.82,1017148.235,26151687.08,User,AZ,126708.0774,7,2009,Pumped from Well,122431,734586
North Gila Valley IDD,1424007.529,26543962.39,1017148.235,26151687.08,User,AZ,7759.295221,7,2009,Pumped from Reservoir,170280,1021680
Yuma IDD,1424007.529,26413203.95,1017148.235,26151687.08,User,AZ,14273.50803,7,2009,Pumped from Well,132338,794028
Yuma Mesa IDD,1424007.529,26282445.52,1017148.235,26151687.08,User,AZ,55357.02547,7,2009,Pumped from Reservoir,197711,1186266
Unit B IDD,1424007.529,26151687.08,1017148.235,26151687.08,User,AZ,3389.838218,7,2009,Pumped from Well,46683,280098
Yuma County WUA,1424007.529,26020928.64,1017148.235,26151687.08,User,AZ,58031.52413,7,2009,Pumped from Reservoir,30934,185604
Bullhead City,1424007.529,25890170.21,1017148.235,26151687.08,User,AZ,38491.85609,7,2009,Pumped from Well,43731,262386
Lake Havasu City,1424007.529,25759411.77,1017148.235,26151687.08,User,AZ,29714.58741,7,2009,Pumped from Reservoir,136881,821286
City of Yuma,1424007.529,25628653.34,1017148.235,26151687.08,User,AZ,78673.66559,7,2009,Pumped from Well,51610,309660
Mohave IDD,1076498.022,26628191.41,936085.2364,26495712.85,User,AZ,32879.55456,7,2009,Pumped from Reservoir,147080,882480
Cibola Valley IDD,1076498.022,26495712.85,936085.2364,26495712.85,User,AZ,7146.580302,7,2009,Pumped from Well,133603,801618
Fort Mojave Indian Tribe,1076498.022,26363234.29,936085.2364,26495712.85,User,"CA, AZ, NV",20975.1735,7,2009,Pumped from Reservoir,104360,626160
Met. Water District of So. Cal. ,699103.7691,27289269.43,998719.6702,26754185.72,User,CA,3369831.864,7,2009,Pumped from Well,88308,529848
Imperial Irrigation District,699103.7691,27155498.51,998719.6702,26754185.72,User,CA,965850.9077,7,2009,Pumped from Reservoir,181604,1089624
Coachella Valley Water District,699103.7691,27021727.58,998719.6702,26754185.72,User,CA,643409.9208,7,2009,Pumped from Well,75328,451968
Palo Verde ID,699103.7691,26887956.65,998719.6702,26754185.72,User,CA,22715.52568,7,2009,Pumped from Reservoir,125917,755502
Bard Water District,699103.7691,26754185.72,998719.6702,26754185.72,User,CA,17345.36361,7,2009,Pumped from Well,118970,713820
Colorado River Indian Tribes,699103.7691,26620414.79,998719.6702,26754185.72,User,"CA, AZ",275297.8585,7,2009,Pumped from Reservoir,189427,1136562
Chemehuevi Indian Tribe,699103.7691,26486643.86,998719.6702,26754185.72,User,CA,31345.4648,7,2009,Pumped from Well,125547,753282
Cocopah Indian Tribe,699103.7691,26352872.93,998719.6702,26754185.72,User,AZ,5051.562495,7,2009,Pumped from Reservoir,54581,327486
Quechan Indian Tribe,699103.7691,26219102.01,998719.6702,26754185.72,User,CA,45046.9459,7,2009,Pumped from Well,57123,342738
Southern Nevada Water Authority,2001077.088,27049702.93,1905787.703,27117496.67,User,NV,4828668.247,8,2009,Pumped from Reservoir,98972,494860
Central Arizona Water Conservation District,2001077.088,27185290.41,1905787.703,27117496.67,User,AZ,15189840.29,8,2009,Pumped from Well,166805,834025
Wellton Mohawk IDD,1424007.529,26674720.82,1017148.235,26151687.08,User,AZ,126708.0774,8,2009,Pumped from Reservoir,103214,516070
North Gila Valley IDD,1424007.529,26543962.39,1017148.235,26151687.08,User,AZ,7759.295221,8,2009,Pumped from Well,57978,289890
Yuma IDD,1424007.529,26413203.95,1017148.235,26151687.08,User,AZ,14273.50803,8,2009,Pumped from Reservoir,66947,334735
Yuma Mesa IDD,1424007.529,26282445.52,1017148.235,26151687.08,User,AZ,55357.02547,8,2009,Pumped from Well,180453,902265
Unit B IDD,1424007.529,26151687.08,1017148.235,26151687.08,User,AZ,3389.838218,8,2009,Pumped from Reservoir,82012,410060
Yuma County WUA,1424007.529,26020928.64,1017148.235,26151687.08,User,AZ,58031.52413,8,2009,Pumped from Well,151014,755070
Bullhead City,1424007.529,25890170.21,1017148.235,26151687.08,User,AZ,38491.85609,8,2009,Pumped from Reservoir,22880,114400
Lake Havasu City,1424007.529,25759411.77,1017148.235,26151687.08,User,AZ,29714.58741,8,2009,Pumped from Well,55009,275045
City of Yuma,1424007.529,25628653.34,1017148.235,26151687.08,User,AZ,78673.66559,8,2009,Pumped from Reservoir,124874,624370
Mohave IDD,1076498.022,26628191.41,936085.2364,26495712.85,User,AZ,32879.55456,8,2009,Pumped from Well,89132,445660
Cibola Valley IDD,1076498.022,26495712.85,936085.2364,26495712.85,User,AZ,7146.580302,8,2009,Pumped from Reservoir,154322,771610
Fort Mojave Indian Tribe,1076498.022,26363234.29,936085.2364,26495712.85,User,"CA, AZ, NV",20975.1735,8,2009,Pumped from Well,101908,509540
Met. Water District of So. Cal. ,699103.7691,27289269.43,998719.6702,26754185.72,User,CA,3369831.864,8,2009,Pumped from Reservoir,83548,417740
Imperial Irrigation District,699103.7691,27155498.51,998719.6702,26754185.72,User,CA,965850.9077,8,2009,Pumped from Well,109080,545400
Coachella Valley Water District,699103.7691,27021727.58,998719.6702,26754185.72,User,CA,643409.9208,8,2009,Pumped from Reservoir,192090,960450
Palo Verde ID,699103.7691,26887956.65,998719.6702,26754185.72,User,CA,22715.52568,8,2009,Pumped from Well,146614,733070
Bard Water District,699103.7691,26754185.72,998719.6702,26754185.72,User,CA,17345.36361,8,2009,Pumped from Reservoir,21853,109265
Colorado River Indian Tribes,699103.7691,26620414.79,998719.6702,26754185.72,User,"CA, AZ",275297.8585,8,2009,Pumped from Well,67340,336700
Chemehuevi Indian Tribe,699103.7691,26486643.86,998719.6702,26754185.72,User,CA,31345.4648,8,2009,Pumped from Reservoir,178693,893465
Cocopah Indian Tribe,699103.7691,26352872.93,998719.6702,26754185.72,User,AZ,5051.562495,8,2009,Pumped from Well,153659,768295
Quechan Indian Tribe,699103.7691,26219102.01,998719.6702,26754185.72,User,CA,45046.9459,8,2009,Pumped from Reservoir,49370,246850
Southern Nevada Water Authority,2001077.088,27049702.93,1905787.703,27117496.67,User,NV,4828668.247,9,2009,Pumped from Well,59031,236124
Central Arizona Water Conservation District,2001077.088,27185290.41,1905787.703,27117496.67,User,AZ,15189840.29,9,2009,Pumped from Reservoir,156470,625880
Wellton Mohawk IDD,1424007.529,26674720.82,1017148.235,26151687.08,User,AZ,126708.0774,9,2009,Pumped from Well,125627,502508
North Gila Valley IDD,1424007.529,26543962.39,1017148.235,26151687.08,User,AZ,7759.295221,9,2009,Pumped from Reservoir,120927,483708
Yuma IDD,1424007.529,26413203.95,1017148.235,26151687.08,User,AZ,14273.50803,9,2009,Pumped from Well,164317,657268
Yuma Mesa IDD,1424007.529,26282445.52,1017148.235,26151687.08,User,AZ,55357.02547,9,2009,Pumped from Reservoir,188135,752540
Unit B IDD,1424007.529,26151687.08,1017148.235,26151687.08,User,AZ,3389.838218,9,2009,Pumped from Well,62459,249836
Yuma County WUA,1424007.529,26020928.64,1017148.235,26151687.08,User,AZ,58031.52413,9,2009,Pumped from Reservoir,42599,170396
Bullhead City,1424007.529,25890170.21,1017148.235,26151687.08,User,AZ,38491.85609,9,2009,Pumped from Well,13962,55848
Lake Havasu City,1424007.529,25759411.77,1017148.235,26151687.08,User,AZ,29714.58741,9,2009,Pumped from Reservoir,118292,473168
City of Yuma,1424007.529,25628653.34,1017148.235,26151687.08,User,AZ,78673.66559,9,2009,Pumped from Well,49328,197312
Mohave IDD,1076498.022,26628191.41,936085.2364,26495712.85,User,AZ,32879.55456,9,2009,Pumped from Reservoir,156376,625504
Cibola Valley IDD,1076498.022,26495712.85,936085.2364,26495712.85,User,AZ,7146.580302,9,2009,Pumped from Well,109720,438880
Fort Mojave Indian Tribe,1076498.022,26363234.29,936085.2364,26495712.85,User,"CA, AZ, NV",20975.1735,9,2009,Pumped from Reservoir,20561,82244
Met. Water District of So. Cal. ,699103.7691,27289269.43,998719.6702,26754185.72,User,CA,3369831.864,9,2009,Pumped from Well,17643,70572
Imperial Irrigation District,699103.7691,27155498.51,998719.6702,26754185.72,User,CA,965850.9077,9,2009,Pumped from Reservoir,79482,317928
Coachella Valley Water District,699103.7691,27021727.58,998719.6702,26754185.72,User,CA,643409.9208,9,2009,Pumped from Well,26278,105112
Palo Verde ID,699103.7691,26887956.65,998719.6702,26754185.72,User,CA,22715.52568,9,2009,Pumped from Reservoir,96403,385612
Bard Water District,699103.7691,26754185.72,998719.6702,26754185.72,User,CA,17345.36361,9,2009,Pumped from Well,195562,782248
Colorado River Indian Tribes,699103.7691,26620414.79,998719.6702,26754185.72,User,"CA, AZ",275297.8585,9,2009,Pumped from Reservoir,147220,588880
Chemehuevi Indian Tribe,699103.7691,26486643.86,998719.6702,26754185.72,User,CA,31345.4648,9,2009,Pumped from Well,181689,726756
Cocopah Indian Tribe,699103.7691,26352872.93,998719.6702,26754185.72,User,AZ,5051.562495,9,2009,Pumped from Reservoir,99901,399604
Quechan Indian Tribe,699103.7691,26219102.01,998719.6702,26754185.72,User,CA,45046.9459,9,2009,Pumped from Well,134715,538860
Southern Nevada Water Authority,2001077.088,27049702.93,1905787.703,27117496.67,User,NV,4828668.247,10,2009,Pumped from Reservoir,122523,367569
Central Arizona Water Conservation District,2001077.088,27185290.41,1905787.703,27117496.67,User,AZ,15189840.29,10,2009,Pumped from Well,88779,266337
Wellton Mohawk IDD,1424007.529,26674720.82,1017148.235,26151687.08,User,AZ,126708.0774,10,2009,Pumped from Reservoir,144390,433170
North Gila Valley IDD,1424007.529,26543962.39,1017148.235,26151687.08,User,AZ,7759.295221,10,2009,Pumped from Well,86470,259410
Yuma IDD,1424007.529,26413203.95,1017148.235,26151687.08,User,AZ,14273.50803,10,2009,Pumped from Reservoir,85300,255900
Yuma Mesa IDD,1424007.529,26282445.52,1017148.235,26151687.08,User,AZ,55357.02547,10,2009,Pumped from Well,145449,436347
Unit B IDD,1424007.529,26151687.08,1017148.235,26151687.08,User,AZ,3389.838218,10,2009,Pumped from Reservoir,189568,568704
Yuma County WUA,1424007.529,26020928.64,1017148.235,26151687.08,User,AZ,58031.52413,10,2009,Pumped from Well,115337,346011
Bullhead City,1424007.529,25890170.21,1017148.235,26151687.08,User,AZ,38491.85609,10,2009,Pumped from Reservoir,18062,54186
Lake Havasu City,1424007.529,25759411.77,1017148.235,26151687.08,User,AZ,29714.58741,10,2009,Pumped from Well,190919,572757
City of Yuma,1424007.529,25628653.34,1017148.235,26151687.08,User,AZ,78673.66559,10,2009,Pumped from Reservoir,161649,484947
Mohave IDD,1076498.022,26628191.41,936085.2364,26495712.85,User,AZ,32879.55456,10,2009,Pumped from Well,190698,572094
Cibola Valley IDD,1076498.022,26495712.85,936085.2364,26495712.85,User,AZ,7146.580302,10,2009,Pumped from Reservoir,79577,238731
Fort Mojave Indian Tribe,1076498.022,26363234.29,936085.2364,26495712.85,User,"CA, AZ, NV",20975.1735,10,2009,Pumped from Well,183701,551103
Met. Water District of So. Cal. ,699103.7691,27289269.43,998719.6702,26754185.72,User,CA,3369831.864,10,2009,Pumped from Reservoir,90901,272703
Imperial Irrigation District,699103.7691,27155498.51,998719.6702,26754185.72,User,CA,965850.9077,10,2009,Pumped from Well,52864,158592
Coachella Valley Water District,699103.7691,27021727.58,998719.6702,26754185.72,User,CA,643409.9208,10,2009,Pumped from Reservoir,112374,337122
Palo Verde ID,699103.7691,26887956.65,998719.6702,26754185.72,User,CA,22715.52568,10,2009,Pumped from Well,165627,496881
Bard Water District,699103.7691,26754185.72,998719.6702,26754185.72,User,CA,17345.36361,10,2009,Pumped from Reservoir,70567,211701
Colorado River Indian Tribes,699103.7691,26620414.79,998719.6702,26754185.72,User,"CA, AZ",275297.8585,10,2009,Pumped from Well,125675,377025
Chemehuevi Indian Tribe,699103.7691,26486643.86,998719.6702,26754185.72,User,CA,31345.4648,10,2009,Pumped from Reservoir,63118,189354
Cocopah Indian Tribe,699103.7691,26352872.93,998719.6702,26754185.72,User,AZ,5051.562495,10,2009,Pumped from Well,105640,316920
Quechan Indian Tribe,699103.7691,26219102.01,998719.6702,26754185.72,User,CA,45046.9459,10,2009,Pumped from Reservoir,13614,40842
Southern Nevada Water Authority,2001077.088,27049702.93,1905787.703,27117496.67,User,NV,4828668.247,11,2009,Pumped from Well,167959,335918
Central Arizona Water Conservation District,2001077.088,27185290.41,1905787.703,27117496.67,User,AZ,15189840.29,11,2009,Pumped from Reservoir,154995,309990
Wellton Mohawk IDD,1424007.529,26674720.82,1017148.235,26151687.08,User,AZ,126708.0774,11,2009,Pumped from Well,47486,94972
North Gila Valley IDD,1424007.529,26543962.39,1017148.235,26151687.08,User,AZ,7759.295221,11,2009,Pumped from Reservoir,37599,75198
Yuma IDD,1424007.529,26413203.95,1017148.235,26151687.08,User,AZ,14273.50803,11,2009,Pumped from Well,76385,152770
Yuma Mesa IDD,1424007.529,26282445.52,1017148.235,26151687.08,User,AZ,55357.02547,11,2009,Pumped from Reservoir,58937,117874
Unit B IDD,1424007.529,26151687.08,1017148.235,26151687.08,User,AZ,3389.838218,11,2009,Pumped from Well,190828,381656
Yuma County WUA,1424007.529,26020928.64,1017148.235,26151687.08,User,AZ,58031.52413,11,2009,Pumped from Reservoir,181217,362434
Bullhead City,1424007.529,25890170.21,1017148.235,26151687.08,User,AZ,38491.85609,11,2009,Pumped from Well,121893,243786
Lake Havasu City,1424007.529,25759411.77,1017148.235,26151687.08,User,AZ,29714.58741,11,2009,Pumped from Reservoir,66476,132952
City of Yuma,1424007.529,25628653.34,1017148.235,26151687.08,User,AZ,78673.66559,11,2009,Pumped from Well,34926,69852
Mohave IDD,1076498.022,26628191.41,936085.2364,26495712.85,User,AZ,32879.55456,11,2009,Pumped from Reservoir,113727,227454
Cibola Valley IDD,1076498.022,26495712.85,936085.2364,26495712.85,User,AZ,7146.580302,11,2009,Pumped from Well,123746,247492
Fort Mojave Indian Tribe,1076498.022,26363234.29,936085.2364,26495712.85,User,"CA, AZ, NV",20975.1735,11,2009,Pumped from Reservoir,68639,137278
Met. Water District of So. Cal. ,699103.7691,27289269.43,998719.6702,26754185.72,User,CA,3369831.864,11,2009,Pumped from Well,111990,223980
Imperial Irrigation District,699103.7691,27155498.51,998719.6702,26754185.72,User,CA,965850.9077,11,2009,Pumped from Reservoir,161314,322628
Coachella Valley Water District,699103.7691,27021727.58,998719.6702,26754185.72,User,CA,643409.9208,11,2009,Pumped from Well,173855,347710
Palo Verde ID,699103.7691,26887956.65,998719.6702,26754185.72,User,CA,22715.52568,11,2009,Pumped from Reservoir,122288,244576
Bard Water District,699103.7691,26754185.72,998719.6702,26754185.72,User,CA,17345.36361,11,2009,Pumped from Well,56570,113140
Colorado River Indian Tribes,699103.7691,26620414.79,998719.6702,26754185.72,User,"CA, AZ",275297.8585,11,2009,Pumped from Reservoir,132009,264018
Chemehuevi Indian Tribe,699103.7691,26486643.86,998719.6702,26754185.72,User,CA,31345.4648,11,2009,Pumped from Well,175574,351148
Cocopah Indian Tribe,699103.7691,26352872.93,998719.6702,26754185.72,User,AZ,5051.562495,11,2009,Pumped from Reservoir,162233,324466
Quechan Indian Tribe,699103.7691,26219102.01,998719.6702,26754185.72,User,CA,45046.9459,11,2009,Pumped from Well,14742,29484
Southern Nevada Water Authority,2001077.088,27049702.93,1905787.703,27117496.67,User,NV,4828668.247,12,2009,Pumped from Reservoir,121384,121384
Central Arizona Water Conservation District,2001077.088,27185290.41,1905787.703,27117496.67,User,AZ,15189840.29,12,2009,Pumped from Well,16528,16528
Wellton Mohawk IDD,1424007.529,26674720.82,1017148.235,26151687.08,User,AZ,126708.0774,12,2009,Pumped from Reservoir,175800,175800
North Gila Valley IDD,1424007.529,26543962.39,1017148.235,26151687.08,User,AZ,7759.295221,12,2009,Pumped from Well,194258,194258
Yuma IDD,1424007.529,26413203.95,1017148.235,26151687.08,User,AZ,14273.50803,12,2009,Pumped from Reservoir,109859,109859
Yuma Mesa IDD,1424007.529,26282445.52,1017148.235,26151687.08,User,AZ,55357.02547,12,2009,Pumped from Well,26995,26995
Unit B IDD,1424007.529,26151687.08,1017148.235,26151687.08,User,AZ,3389.838218,12,2009,Pumped from Reservoir,143502,143502
Yuma County WUA,1424007.529,26020928.64,1017148.235,26151687.08,User,AZ,58031.52413,12,2009,Pumped from Well,188950,188950
